Data e Hora (DD-MM-YYYY HH:MM:SS), TI (°C), TE (°C), TR (°C)
12-10-2020 10:00:42, 0.00, 0.00, 0.00
12-10-2020 10:00:44, 38.06, 30.69, 36.00
12-10-2020 10:00:46, 38.55, 30.74, 36.00
12-10-2020 10:00:49, 38.06, 30.76, 36.00
12-10-2020 10:00:51, 38.06, 30.76, 36.00
12-10-2020 10:00:53, 37.58, 30.77, 43.00
12-10-2020 10:00:55, 37.09, 30.78, 43.00
12-10-2020 10:00:57, 37.09, 30.78, 43.00
12-10-2020 10:00:59, 36.60, 30.77, 43.00
12-10-2020 10:01:02, 37.09, 30.79, 43.00
12-10-2020 10:01:04, 37.09, 30.79, 43.00
12-10-2020 10:01:06, 37.09, 30.34, 43.00
12-10-2020 10:01:08, 37.09, 30.30, 43.00
12-10-2020 10:01:10, 43.00, 30.27, 37.58
12-10-2020 10:01:12, 43.00, 30.25, 37.58
12-10-2020 10:01:15, 43.00, 30.24, 43.00
12-10-2020 10:02:57, 0.00, 0.00, 0.00
12-10-2020 10:03:00, 38.55, 30.61, 37.00
12-10-2020 10:03:02, 38.55, 30.69, 37.00
12-10-2020 10:03:04, 38.55, 30.73, 37.00
12-10-2020 10:03:06, 38.55, 30.75, 37.00
12-10-2020 10:03:08, 38.55, 30.77, 37.00
12-10-2020 10:03:10, 38.55, 30.77, 37.00
12-10-2020 10:03:13, 38.55, 30.78, 37.00
12-10-2020 10:03:15, 38.55, 30.78, 37.00
12-10-2020 10:03:17, 38.55, 30.78, 37.00
12-10-2020 10:03:19, 39.04, 30.79, 37.00
12-10-2020 10:03:21, 38.55, 30.79, 37.00
12-10-2020 10:03:23, 38.06, 30.81, 37.00
12-10-2020 10:03:26, 38.06, 30.81, 37.00
12-10-2020 10:03:28, 37.58, 30.82, 37.00
12-10-2020 10:03:30, 37.09, 30.84, 37.00
12-10-2020 10:03:32, 36.60, 30.85, 37.00
12-10-2020 10:03:34, 36.60, 30.85, 37.00
12-10-2020 10:03:36, 36.11, 30.86, 37.00
